motivation_update_dt,n_runs,total_invasions_mean,total_invasions_std,total_invasions_min,total_invasions_max,total_timesteps_mean,avg_invasions_per_timestep_mean,avg_invasions_per_timestep_std,max_invasions_per_timestep_mean,min_invasions_per_timestep_mean,std_invasions_per_timestep_mean,avg_invasion_rate_mean,avg_invasion_rate_std,max_invasion_rate_mean,avg_pedestrians_per_timestep_mean,invasion_frequency_mean,invasion_frequency_std
0.001,5,6404.4,948.5111702030715,4862,7461,1500.0,4.2696,0.632340780135381,73.6,0.0,4.9309964771794075,9.519764364935069e-05,1.4098947994189557e-05,0.001641025641025641,299.99946666666665,4.2696,0.632340780135381
0.002,5,7061.8,840.631524509996,6162,8341,1500.0,4.707866666666667,0.5604210163399975,72.8,0.0,5.084368869587199,0.00010496919635174669,1.249540915649876e-05,0.0016231884057971015,299.99986666666666,4.707866666666667,0.5604210163399975
0.005,5,7247.8,1016.880209267542,5786,8117,1500.0,4.831866666666667,0.6779201395116946,73.8,0.0,4.56992638258176,0.00010773394786000563,1.5115292670003536e-05,0.0016454849498327758,299.99986666666666,4.831866666666667,0.6779201395116946
0.01,5,7549.8,334.2103529216293,7135,8060,1500.0,5.033199999999999,0.22280690194775268,69.8,0.0,4.5820589458171925,0.00011222296544035675,4.967823900730286e-06,0.001556298773690078,300.0,5.033199999999999,0.22280690194775268
0.02,5,7151.2,662.9221372076814,6057,8081,1500.0,4.7674666666666665,0.4419480914717875,70.8,0.0,4.622880483795582,0.00010629803047194351,9.853915082983003e-06,0.0015785953177257523,300.0,4.7674666666666665,0.4419480914717875
0.05,5,7396.4,955.7691353041276,6521,9234,1500.0,4.930933333333333,0.6371794235360851,77.8,0.0,4.724512010682051,0.00010994277220364177,1.4206899075497998e-05,0.0017346711259754739,300.0,4.930933333333333,0.6371794235360851
0.1,5,7248.2,1261.397859519351,6271,9727,1500.0,4.832133333333333,0.8409319063462339,76.6,0.0,5.087882583751117,0.00010774019288755209,1.8749666409198325e-05,0.0017079152731326644,299.99946666666665,4.832133333333333,0.8409319063462339
0.2,5,7445.6,1209.9819172202533,5788,8781,1500.0,4.963733333333333,0.8066546114801689,74.6,0.0,5.0428662626936385,0.00011067439813048217,1.7985849021305708e-05,0.0016633221850613153,299.99973333333327,4.963733333333333,0.8066546114801689
0.3,5,9747.8,958.0873446612267,8382,11072,1500.0,6.498533333333333,0.6387248964408175,69.8,0.0,5.295659945984495,0.00014489519377292943,1.4240845819065148e-05,0.001556298773690078,299.9997333333333,6.498533333333333,0.6387248964408175
0.4,5,10175.4,642.1468990815108,9495,11331,1500.0,6.783600000000002,0.42809793272100727,70.8,0.0,6.172745375416271,0.0001512508959768954,9.54521212568011e-06,0.0015785953177257527,299.99986666666666,6.783600000000002,0.42809793272100727
0.5,5,17062.8,2061.1574806404287,13082,18870,1500.0,11.3752,1.3741049870936193,71.6,0.0,10.356059912155215,0.000253627727523263,3.063763821658667e-05,0.0015964325529542922,299.99986666666666,11.3752,1.3741049870936193
0.6,5,15826.0,1499.2580831864805,13982,18537,1500.0,10.550666666666666,0.9995053887909872,76.2,0.0,9.759999130769446,0.00023524350369987955,2.2285393215633175e-05,0.0016989966555183947,299.99986666666666,10.550666666666666,0.9995053887909872
0.7,5,29619.2,664.1847333385494,28339,30263,1500.0,19.746133333333336,0.4427898222256998,90.2,2.8,12.693284819443596,0.0004402709703485892,9.872892173979183e-06,0.002011148272017837,299.99986666666666,19.746133333333336,0.4427898222256998
0.8,5,28735.8,2214.938139091022,25454,32335,1500.0,19.1572,1.4766254260606815,86.6,1.6,12.991559733874695,0.00042714023129546906,3.292387131725454e-05,0.0019308807134894093,299.9996,19.1572,1.4766254260606815
0.9,5,43670.0,1478.9167657444416,41132,45488,1500.0,29.113333333333333,0.9859445104962945,88.6,4.2,11.296287577004096,0.0006491280155826405,2.1982902664244502e-05,0.001975473801560758,299.9997333333333,29.113333333333333,0.9859445104962945
1.0,5,46334.6,1117.1078014229424,45155,47881,1500.0,30.889733333333332,0.7447385342819617,88.0,3.6,11.073413706514021,0.000688734758416696,1.6604703402655023e-05,0.0019620958751393534,299.99986666666666,30.889733333333332,0.7447385342819617
